イベント名,開催日,会場,参加者数
『Python言語によるプログラミング・イントロダクション 第2版』読書会 #19,2018-07-07,蕨市民会館（303会議室）,1
基礎からのPythonでAIハンズオンセミナー-第1回Python入門（札幌校）,2018-07-06,MGTカレッジ札幌校,1
Amazon Pay Developer Meetup #3~90分ハンズオン＆達人度試験~,2018-07-06,アマゾンジャパン合同会社（東京都目黒区下目黒1-8-1 アルコタワー19F）,62
【サポーターズCoLab勉強会】【JavaScript】グラフライブラリの機能比較,2018-07-05,渋谷スクエアA 11F,0
東京大学エッジキャピタル×for Startups〜最新AIビジネス動向について〜,2018-07-05,東京大学本郷キャンパス産学連携プラザ2F,51
（場所・時間変更）エンジニア向け 製造業におけるAI活用の事例セッション 7/5(木),2018-07-05,アットビジネスセンター渋谷　301号室,17
Reinforcement Learning Meetup #09,2018-07-05,株式会社SOU,8
朝活Python ファイル操作編 in 秋葉原,2018-07-05,池袋サンシャインシティ tully's coffee  アルパ店,2
bmxug.tokyo これから始めるPaaS開発相談会,2018-07-04,ふれあいセミナールーム　八重洲,8
[第7回] Django 2.0 で Webアプリケーション作る会,2018-07-04,アメリエフ株式会社,4
システムトレード　勉強会　初心者大歓迎,2018-07-04,金融財務研究会セミナールーム,9
オトナのPython Boot Camp@未来会議室 #2.5　スクレイピング編,2018-07-04,未来会議室,12
【大阪・梅田】WEB系言語もくもく会,2018-07-04,株式会社スポーツフィールド大阪オフィス,4
Pythonアルゴリズム勉強会,2018-07-04,株式会社Smart Trade,3
[秋葉原] PythonとKerasによるディープラーニング勉強会 「6章 テキストや時系列の続き」,2018-07-03,コワーキングスペース秋葉原 Weeyble（ウィーブル),8
広尾で開催「なりたい！」から「目指す！」へ！データサイエンティストの仕事がわかるハンズオンセミナー！,2018-07-03,株式会社データフォーシーズ　5Fセミナールーム,20
プログラミング勉強部屋　7月3日（ほぼ毎週開催）,2018-07-03,Co-CreationLABO,9
朝活Python 入り口編 in 秋葉原,2018-07-03,カフェ・ベローチェ 秋葉原駅前広場店,4
DjangoGirls@会津若松ワークショップ2018 スポンサー募集,2018-07-03,レオクラブガーデンスクエア,0
#pycamp 岩手 振り返りミーティング(オンライン),2018-07-02,,6
Pythonのもくもく会とボランティア　＃5,2018-07-02,あいちベンチャーハウス,2
kubernetesもくもく会 in GEEKLAB.NAGANO,2018-07-02,ギークラボ長野,3
オブジェクト指向とソフトウェア設計入門 #3,2018-07-01,水道橋駅周辺,4
Python勉強会（numpy 、Ansible、囲碁AI）,2018-07-01,未来会議室,7
【名古屋開催】【学生限定】初心者歓迎！PythonでBotを作ってみよう！,2018-07-01,ヤフー株式会社 名古屋オフィス,26
Tokyo Quantopian User Group Vol.04 商品先物を学ぼう,2018-07-01,株式会社Smart Trade,15
【未経験者・初心者向け】Python+Jupyterで学ぶプログラミングの基礎 #6,2018-07-01,水道橋駅周辺,6
機械学習を始めるためのpythonデータ分析実践（機械学習直前）,2018-07-01,スキルアップビデオテクノロジーズ,9
