,anime_id,name,genre,type,episodes,rating,members
1363,207,Lodoss-tou Senki,"Action, Adventure, Fantasy, Magic, Shounen, Supernatural",OVA,13,7.55,28462
1373,5538,Tegamibachi: Hikari to Ao no Gensou Yawa,"Adventure, Fantasy, Shounen, Slice of Life, Supernatural",Special,1,7.55,10903
1374,24365,Tonari no Seki-kun Specials,"Comedy, School, Seinen",Special,2,7.55,14248
1376,8481,"""Bungaku Shoujo"" Memoire","Drama, Romance, School",OVA,3,7.54,18013
1379,1069,Chou Denji Machine Voltes V,"Action, Adventure, Drama, Mecha, Sci-Fi, Shounen",TV,40,7.54,3201
1382,15583,Date A Live,"Comedy, Harem, Mecha, Romance, School, Sci-Fi",TV,12,7.54,301358
1399,12015,Tiger & Bunny Movie 1: The Beginning,"Action, Comedy, Mystery, Super Power",Movie,1,7.54,13716
1402,1327,Aoki Densetsu Shoot!,"Action, Comedy, Drama, Romance, School, Shounen, Sports",TV,58,7.53,6937
1403,2922,Ashita no Joe 2 (Movie),"Drama, Sports",Movie,1,7.53,1396
1418,4752,Vampire Knight Guilty,"Drama, Mystery, Romance, Shoujo, Supernatural, Vampire",TV,13,7.53,198492
1421,28771,Yu☆Gi☆Oh!: The Dark Side of Dimensions,"Adventure, Game, Shounen",Movie,1,7.53,10263
1422,5251,Angel Densetsu,"Action, Comedy, School",OVA,2,7.52,10795
1425,13335,Fuse: Teppou Musume no Torimonochou,"Action, Drama, Historical, Supernatural",Movie,1,7.52,13412
1427,19193,Ghost in the Shell: Arise - Border:3 Ghost Tears,"Mecha, Police, Psychological, Sci-Fi",Movie,1,7.52,21648
1437,10178,Otona Joshi no Anime Time,"Drama, Josei, Slice of Life",Special,4,7.52,11268
1453,30869,Ajin Part 2: Shoutotsu,"Action, Horror, Mystery, Seinen, Supernatural",Movie,1,7.51,11377
1454,1536,Busou Renkin,"Action, Comedy, Fantasy, School, Shounen, Supernatural",TV,26,7.51,104607
1455,1475,City Hunter: Bay City Wars,"Action, Comedy, Mystery, Shounen",Movie,1,7.51,2969
1456,13837,Detective Conan Bonus File: Fantasista Flower,"Comedy, Mystery, Police, Shounen, Sports",OVA,1,7.51,4596
1461,2228,Honoo no Toukyuuji: Dodge Danpei,"Comedy, Sports",TV,47,7.51,2214
1466,2954,Maria-sama ga Miteru 3rd Specials,Comedy,Special,5,7.51,5072
1467,3469,Maria-sama ga Miteru: Haru Specials,"Drama, Romance, School, Shoujo, Shoujo Ai, Slice of Life",Special,6,7.51,5554
1468,8460,Mirai Nikki,"Action, Shounen, Supernatural",OVA,1,7.51,114217
1478,1577,Taiho Shichau zo,"Action, Comedy, Police, Seinen",OVA,4,7.51,8557
1480,33094,WWW.Working!!,"Comedy, Slice of Life",TV,13,7.51,40779
1495,31665,Hibike! Euphonium: Kakedasu Monaka,"Drama, Music, School",Special,1,7.5,17770
1507,32051,One Piece: Adventure of Nebulandia,"Action, Adventure, Comedy, Fantasy, Shounen, Super Power",Special,1,7.5,9777
1509,13429,Sakasama no Patema: Beginning of the Day,Sci-Fi,Special,4,7.5,16933
1514,7870,Baka to Test to Shoukanjuu Specials,"Comedy, Magic, School",Special,6,7.49,29923
1516,16592,Danganronpa: Kibou no Gakuen to Zetsubou no Koukousei The Animation,"Action, Horror, Mystery, Psychological",TV,13,7.49,298550
1519,17535,Fairy Tail Movie 1: Houou no Miko - Hajimari no Asa,"Fantasy, Magic, Shounen",Special,1,7.49,34230
1523,16353,Love Lab,"Comedy, Romance, School",TV,13,7.49,79493
1529,8769,Ore no Imouto ga Konnani Kawaii Wake ga Nai,"Comedy, Seinen, Slice of Life",TV,12,7.49,321477
1533,30187,Sakurako-san no Ashimoto ni wa Shitai ga Umatteiru,Mystery,TV,12,7.49,99665
1534,15751,Senyuu.,"Action, Comedy, Fantasy, Parody, Shounen",TV,13,7.49,56815
1536,2585,Soukou Kihei Votoms: Red Shoulder Document - Yabou no Roots,"Drama, Mecha, Military, Sci-Fi",OVA,1,7.49,2049
1540,10629,Tibet Inu Monogatari,Adventure,Movie,1,7.49,2647
1554,242,Gokusen,"Comedy, Drama, Josei, School, Slice of Life",TV,13,7.48,22009
1559,822,Initial D Extra Stage,"Action, Cars, Drama, Seinen, Sports",OVA,2,7.48,15363
1563,1419,Lupin III: Kutabare! Nostradamus,"Action, Adventure, Comedy, Shounen",Movie,1,7.48,4383
1567,5984,Ristorante Paradiso,"Drama, Josei, Romance, Slice of Life",TV,11,7.48,22229
1568,10464,Seitokai no Ichizon Lv.2,"Comedy, Harem, Parody, School",ONA,10,7.48,41169
1570,4715,Shigofumi Special,"Drama, Fantasy, Psychological, Thriller",Special,1,7.48,11797
1577,30790,Yowamushi Pedal: Re:ROAD,"Drama, Shounen, Sports",Movie,1,7.48,3088
1578,2125,Yuu☆Yuu☆Hakusho: Eizou Hakusho,"Action, Adventure, Shounen, Supernatural",OVA,2,7.48,6352
1585,10531,Detective Conan Magic File 5: Niigata - Tokyo Omiyage Capriccio,"Adventure, Comedy, Mystery, Police, Shounen",OVA,1,7.47,5369
1593,27969,Hana to Alice: Satsujin Jiken,"Drama, Mystery, Slice of Life",Movie,1,7.47,9766
1594,7337,"Hetalia Axis Powers Movie: Paint it, White","Comedy, Historical, Parody",Movie,1,7.47,36986
1595,20853,Hitsugi no Chaika,"Action, Adventure, Comedy, Fantasy, Romance, Shounen",TV,12,7.47,164510
1597,29583,Kuroko no Basket: Oshaberi Demo Shimasen ka,"Comedy, School, Shounen, Sports",Special,1,7.47,8011
1599,1590,Legendz: Yomigaeru Ryuuou Densetsu,"Action, Adventure, Comedy, Fantasy",TV,50,7.47,1370
1607,1655,Nerima Daikon Brothers,"Comedy, Music",TV,12,7.47,5374
1611,17137,Saiyuuki Gaiden: Tokubetsu-hen - Kouga no Shou,"Adventure, Drama, Fantasy, Shoujo",OVA,1,7.47,1313
1624,4038,Zettai Karen Children,"Action, Comedy, Shounen, Supernatural",TV,51,7.47,25876
1638,483,Kurau Phantom Memory,"Action, Drama, Sci-Fi, Space, Super Power",TV,24,7.46,17463
1640,5273,Miracle Giants Doumu-kun,Sports,TV,49,7.46,680
1643,601,Nekojiru-sou,"Comedy, Dementia, Psychological",OVA,1,7.46,34568
1644,465,One Piece Movie 7: Karakuri-jou no Mecha Kyohei,"Adventure, Comedy, Fantasy, Shounen",Movie,1,7.46,33028
1645,1117,Pokemon: Maboroshi no Pokemon Lugia Bakutan,"Adventure, Comedy, Drama, Fantasy, Kids",Movie,1,7.46,78876
1651,21573,Senki Zesshou Symphogear GX: Believe in Justice and Hold a Determination to Fist.,"Action, Music, Sci-Fi",TV,13,7.46,17466
1654,8098,Soukyuu no Fafner: Dead Aggressor - Heaven and Earth,"Action, Drama, Mecha, Military, Sci-Fi",Movie,1,7.46,8266
1656,23319,"Suisei no Gargantia: Meguru Kouro, Haruka","Action, Adventure, Mecha, Sci-Fi",OVA,2,7.46,20151
1662,2986,Bamboo Blade,"Comedy, School, Seinen, Sports",TV,26,7.45,61649
1666,15109,Cuticle Tantei Inaba,"Action, Comedy, Mystery, Shounen, Supernatural",TV,12,7.45,50019
1669,505,Fushigiboshi no☆Futagohime,"Comedy, Magic, Shoujo",TV,51,7.45,5074
1678,13261,Inazuma Eleven Go: Chrono Stone,"Shounen, Sports, Super Power",TV,51,7.45,11939
1712,191,Love Hina Christmas Special: Silent Eve,"Comedy, Romance, Slice of Life",Special,1,7.44,45137
1714,20221,Minami-ke Natsuyasumi,"Comedy, Slice of Life",OVA,1,7.44,9580
1715,3655,Nabari no Ou,"Action, Comedy, Drama, Fantasy, Shounen, Supernatural",TV,26,7.44,107384
1718,1094,One Piece: Umi no Heso no Daibouken-hen,"Action, Adventure, Comedy, Fantasy, Shounen, Super Power",Special,1,7.44,19649
1726,27,Trinity Blood,"Action, Supernatural, Vampire",TV,24,7.44,113791
1730,485,Damekko Doubutsu,Comedy,TV,26,7.43,8024
1733,6930,Doraemon Movie 29: Shin Nobita no Uchuu Kaitakushi,"Adventure, Comedy, Fantasy, Kids",Movie,1,7.43,1034
1738,30991,Himouto! Umaru-chan: Umaru-chan Mou Ikkai!,"Comedy, School, Seinen, Slice of Life",OVA,1,7.43,21413
1741,18295,Kakumeiki Valvrave 2nd Season,"Action, Mecha, Space",TV,12,7.43,57434
1743,32574,Kekkai Sensen: Ousama no Restaurant no Ousama,"Action, Fantasy, Shounen, Super Power, Supernatural, Vampire",OVA,1,7.43,9335
1746,1090,Mobile Suit Gundam I,"Action, Adventure, Drama, Mecha, Military, Sci-Fi, Space",Movie,1,7.43,12877
1748,4437,Naruto: Shippuuden Movie 2 - Kizuna,"Action, Martial Arts, Shounen, Supernatural",Movie,1,7.43,97818
1751,2141,Oseam,"Adventure, Drama",Movie,1,7.43,3648
1761,4663,Tekken Chinmi,"Action, Adventure, Historical, Martial Arts, Shounen",TV,20,7.43,1833
1765,7058,Uragiri wa Boku no Namae wo Shitteiru,"Adventure, Drama, Fantasy, Shoujo, Shounen Ai",TV,24,7.43,55040
1766,28405,Ansatsu Kyoushitsu (TV): Deai no Jikan,"Action, Comedy, School, Shounen",Special,1,7.42,29382
1768,1983,Black Jack: Futari no Kuroi Isha,Drama,Movie,1,7.42,2634
1783,22817,Kindaichi Shounen no Jikenbo Returns,"Mystery, Shounen",TV,25,7.42,8128
1785,335,Matantei Loki Ragnarok,"Comedy, Magic, Mystery, Shounen, Supernatural",TV,26,7.42,25098
1788,20939,"Ore no Nounai Sentakushi ga, Gakuen Love Comedy wo Zenryoku de Jama Shiteiru OVA","Comedy, Romance, School",OVA,1,7.42,35583
1791,1255,Saint Seiya: Shinku no Shounen Densetsu,"Adventure, Fantasy, Sci-Fi, Shounen",Movie,1,7.42,8849
1797,5141,Taishou Yakyuu Musume.,"Comedy, Historical, School, Seinen, Sports",TV,12,7.42,12248
1804,5578,Aoyama Goushou Tanpenshuu,"Adventure, Comedy, Mystery, Police, Shounen",Special,7,7.41,2177
1813,1410,IGPX: Immortal Grand Prix (2005) 2nd Season,"Mecha, Sci-Fi, Shounen, Sports",TV,13,7.41,6863
1817,16732,Kiniro Mosaic,"Comedy, School, Slice of Life",TV,12,7.41,78131
1819,6299,Maria-sama ga Miteru 4th Specials,Comedy,Special,11,7.41,3659
1824,272,Noir,"Action, Drama, Mystery",TV,26,7.41,66036
1826,326,Petshop of Horrors,"Horror, Josei, Mystery, Supernatural",TV,4,7.41,32696
1829,5753,Precure All Stars Movie DX: Minna Tomodachi☆Kiseki no Zenin Daishuugou!,"Action, Fantasy, Magic, Shoujo",Movie,1,7.41,2957
1831,2193,Saiunkoku Monogatari Soushuuhen,"Adventure, Comedy, Drama, Fantasy, Historical, Romance",Special,9,7.41,3263
1835,15077,Tabisuru Nuigurumi: Traveling Daru,"Kids, Slice of Life",OVA,1,7.41,2565
1842,21395,Crayon Shin-chan Movie 22: Gachinko! Gyakushuu no Robo To-chan,"Comedy, Kids, Shounen",Movie,1,7.4,704
1845,12231,Dragon Ball: Episode of Bardock,"Action, Adventure, Comedy, Fantasy, Martial Arts, Sci-Fi, Shounen, Super Power",Special,1,7.4,29030
1852,16444,Mondaiji-tachi ga Isekai kara Kuru Sou Desu yo?: Onsen Manyuuki,"Fantasy, Supernatural",OVA,1,7.4,44450
1861,9793,Senjou no Valkyria 3: Tagatame no Juusou,"Action, Fantasy, Military",OVA,2,7.4,9847
1868,92,After War Gundam X,"Adventure, Drama, Mecha, Sci-Fi, Space",TV,39,7.39,19132
1869,713,Air Movie,"Drama, Romance, Supernatural",Movie,1,7.39,44179
1870,3006,Atashin'chi,"Comedy, Slice of Life",TV,330,7.39,1524
1872,2675,Doraemon Movie 17: Nobita to Ginga Express,Fantasy,Movie,1,7.39,1342
1874,2634,Doraemon: Doraemon Comes Back,"Comedy, Fantasy, Kids, Sci-Fi, Shounen",Special,1,7.39,723
1884,13271,Hunter x Hunter Movie: Phantom Rouge,"Action, Adventure, Shounen, Super Power",Movie,1,7.39,44589
1887,8068,Kuroshitsuji Picture Drama,"Demons, Supernatural",Special,1,7.39,12446
1892,2486,Rumiko Takahashi Anthology,"Comedy, Drama, Romance, Shounen, Slice of Life, Supernatural",TV,13,7.39,3420
1893,1231,Saber Marionette J to X,"Action, Adventure, Comedy, Harem, Mecha, Sci-Fi",TV,26,7.39,8862
1912,1432,Lupin III: Fuuma Ichizoku no Inbou,"Action, Adventure, Comedy, Shounen",Movie,1,7.38,4018
1917,10448,Rain Town,Drama,ONA,1,7.38,12489
1928,3088,Tokyo Marble Chocolate,"Romance, Slice of Life",OVA,2,7.38,15425
1931,1278,Bishoujo Senshi Sailor Moon SuperS Gaiden: Ami-chan no Hatsukoi,"Comedy, Magic, Romance, Shoujo",Special,1,7.37,15135
1941,655,Galaxy Angel 4,"Comedy, Sci-Fi",TV,13,7.37,5046
1942,22013,Ghost in the Shell: Nyuumon Arise,Comedy,TV,26,7.37,4636
1946,10189,Hunter x Hunter Pilot,"Action, Adventure, Shounen, Super Power",OVA,1,7.37,10375
1978,963,"Love Hina: Motoko no Sentaku, Koi ka Ken... ""Naku na""","Drama, Romance, Slice of Life",Special,1,7.36,28222
1984,31918,Owari no Seraph: Nagoya Kessen-hen - Owaranai Seraph - Nagoya Kessen-hen,"Comedy, Parody, Shounen",Special,4,7.36,11400
1985,9893,Suite Precure♪,"Action, Fantasy, Magic, Shoujo",TV,48,7.36,7314
1994,9925,Amagami SS: Tachibana Miya-hen - Imouto,School,Special,1,7.35,31019
1997,1723,Clannad Movie,"Drama, Fantasy, Romance, School",Movie,1,7.35,99506
2002,19951,Hunter x Hunter Movie: The Last Mission,"Action, Adventure, Shounen, Super Power",Movie,1,7.35,37633
2004,2544,Kazoku Robinson Hyouryuuki: Fushigi na Shima no Flone,"Adventure, Drama, Historical, Slice of Life",TV,50,7.35,1794
2006,3272,Kinnikuman,"Adventure, Comedy, Shounen, Sports",TV,137,7.35,3623
2007,1516,Kirarin☆Revolution,"Comedy, Drama, Romance, Shoujo",TV,153,7.35,14932
2009,11777,Lupin III: Chi no Kokuin - Eien no Mermaid,"Action, Adventure, Comedy, Shounen",Special,1,7.35,3069
2016,30714,Owari no Seraph: Owaranai Seraph,"Comedy, Police, Shounen, Supernatural, Vampire",Special,9,7.35,22823
2017,13073,Prince of Tennis: Another Story II - Ano Toki no Bokura OVA Bonus,"Shounen, Sports",Special,2,7.35,2978
2021,28621,Subete ga F ni Naru: The Perfect Insider,"Mystery, Psychological, Sci-Fi",TV,11,7.35,81230
2029,9120,Beelzebub: Hirotta Akachan wa Daimaou!?,"Action, Comedy, Demons, School, Shounen, Supernatural",Special,1,7.34,21212
2030,8915,Dantalian no Shoka,"Action, Historical, Mystery, Supernatural",TV,12,7.34,84779
2031,2803,Densetsu no Yuusha Da Garn,"Mecha, Sci-Fi, Shounen",TV,46,7.34,1897
2032,6988,Doraemon Movie 30: Nobita no Ningyo Daikaisen,"Adventure, Comedy, Fantasy, Kids, Shounen",Movie,1,7.34,1191
2033,11053,Doraemon Movie 32: Nobita to Kiseki no Shima - Animal Adventure,"Adventure, Comedy, Fantasy, Kids, Shounen",Movie,1,7.34,849
2036,21635,GJ-bu@,"Comedy, School, Slice of Life",Special,1,7.34,18894
2043,634,Koi Kaze,"Drama, Psychological, Romance, Seinen",TV,13,7.34,41250
2048,2736,Mojakou,"Comedy, Fantasy, Sci-Fi",TV,74,7.34,1218
2049,11033,"Natsu-iro Egao de 1, 2, Jump!",Music,Music,1,7.34,6939
2054,107,Ou Dorobou Jing,"Adventure, Comedy, Fantasy, Sci-Fi, Shounen",TV,13,7.34,21920
2055,2847,Pokemon Diamond & Pearl: Dialga vs. Palkia vs. Darkrai,"Action, Adventure, Comedy, Drama, Fantasy, Kids",Movie,1,7.34,38238
2059,1303,The Animatrix,"Action, Drama, Sci-Fi",OVA,9,7.34,42831
2060,4896,Umineko no Naku Koro ni,"Horror, Mystery, Psychological, Supernatural",TV,26,7.34,126865
2070,9379,Denpa Onna to Seishun Otoko,"Comedy, Sci-Fi, Seinen, Slice of Life",TV,12,7.33,149497
2075,1299,Flag,"Mecha, Military",ONA,13,7.33,10531
2076,29325,Ghost in the Shell: Arise - Alternative Architecture,"Mecha, Police, Psychological, Sci-Fi",TV,10,7.33,21805
2081,11313,Kimi no Iru Machi: Tasogare Kousaten,"Drama, Romance, School, Shounen",OVA,2,7.33,25799
2087,4879,Mouryou no Hako,"Mystery, Seinen, Supernatural, Thriller",TV,13,7.33,36075
2090,460,One Piece Movie 2: Nejimaki-jima no Daibouken,"Action, Adventure, Comedy, Fantasy, Shounen, Super Power",Movie,1,7.33,37792
2092,1846,Princess Nine: Kisaragi Joshikou Yakyuubu,"Drama, Romance, Sports",TV,26,7.33,5758
2097,3956,Shakugan no Shana II (Second) Specials,"Comedy, Parody",Special,3,7.33,34305
2103,11375,.hack//The Movie: Sekai no Mukou ni,"Action, Adventure, Fantasy, Game, Magic, Mystery, Sci-Fi",Movie,1,7.32,11617
2113,2624,"Flanders no Inu, Boku no Patrasche","Drama, Historical",TV,26,7.32,811
2118,16774,Inferno Cop,"Action, Police",ONA,13,7.32,37500
2119,28387,Joukamachi no Dandelion,"Comedy, Seinen, Slice of Life, Super Power",TV,12,7.32,64307
2124,1416,Lupin III: Dead or Alive,"Action, Adventure, Comedy, Shounen",Movie,1,7.32,4296
2128,14749,Ore no Kanojo to Osananajimi ga Shuraba Sugiru,"Comedy, Harem, Romance, School",TV,13,7.32,156116
2134,866,Slayers Premium,"Adventure, Comedy, Fantasy, Magic, Shounen",Movie,1,7.32,13008
2140,18441,Blood Lad: Wagahai wa Neko de wa Nai,"Action, Comedy, Demons, Seinen, Supernatural, Vampire",OVA,1,7.31,48728
2141,33929,Boku no Hero Academia: Jump Festa 2016 Special,"Action, Comedy, School, Shounen, Super Power",Special,1,7.32,17401
2152,32543,Lu Shidai 2nd Season,"Action, Adventure, Comedy, Game, Parody",ONA,13,7.31,740
2153,1429,Lupin III: Nusumareta Lupin,"Action, Adventure, Comedy, Shounen",Special,1,7.31,2694
2154,2818,Madou King Granzort,"Action, Comedy, Fantasy, Magic, Mecha, Sci-Fi, Shounen",TV,41,7.31,835
2162,3594,Tears to Tiara,"Action, Adventure, Fantasy, Magic",TV,26,7.31,50455
2164,3322,Wagaya no Oinari-sama.,"Adventure, Fantasy, Shounen, Supernatural",TV,24,7.31,23132
2168,12651,Danball Senki W,"Action, Kids, Mecha",TV,58,7.3,2088
2175,1358,Hokuto no Ken Movie,"Adventure, Sci-Fi, Shounen",Movie,1,7.3,9328
2179,1017,Majutsushi Orphen,"Action, Adventure, Comedy, Demons, Fantasy, Magic",TV,24,7.3,20105
2182,1847,Rec: Yurusarezarumono,"Comedy, Drama, Romance",Special,1,7.3,16654
2183,34085,Sakura Nagashi,"Action, Drama, Mecha, Music, Sci-Fi",Music,1,7.29,2945
2189,1920,Urusei Yatsura Movie 1: Only You,"Action, Adventure, Comedy, Drama, Romance, Sci-Fi",Movie,1,7.3,3818
2192,30205,Aoharu x Kikanjuu,"Action, Comedy, Shounen, Sports",TV,12,7.29,97674
2193,6164,Aoi Hana,"Romance, Shoujo Ai, Slice of Life",TV,11,7.29,43279
2201,7081,Danball Senki,"Action, Kids, Mecha",TV,44,7.29,3682
2206,395,Gantz 2nd Stage,"Action, Drama, Horror, Psychological, Sci-Fi, Supernatural",TV,13,7.29,87240
2227,8894,Yume-iro Pâtissière: Mune Kyun Tropical Island!,"Kids, School, Shoujo",Special,1,7.29,5984
2237,6463,Hoshi wo Katta Hi,"Kids, Sci-Fi",Movie,1,7.28,2814
2241,2834,Miracle☆Girls,"Drama, Magic, Shoujo",TV,51,7.28,2033
2244,14293,Nerawareta Gakuen,"Romance, School, Sci-Fi",Movie,1,7.28,44787
2247,8133,Precure All Stars Movie DX2: Kibou no Hikari☆Rainbow Jewel wo Mamore!,"Action, Fantasy, Magic, Shoujo",Movie,1,7.28,3046
2250,1108,Senkaiden Houshin Engi,"Adventure, Fantasy, Historical, Magic, Shounen, Supernatural",TV,26,7.28,10449
2252,4382,Suzumiya Haruhi no Yuuutsu (2009),"Comedy, Mystery, Parody, Romance, School, Sci-Fi, Slice of Life",TV,14,7.28,243448
2265,1845,Gaiking: Legend of Daiku-Maryu,"Action, Mecha, Sci-Fi",TV,39,7.27,2640
2267,2400,Ghost Sweeper GS Mikami,"Comedy, Supernatural",TV,45,7.27,5118
2268,2416,Grander Musashi RV,"Adventure, Sports",TV,39,7.27,987
2270,18713,Haiyore! Nyaruko-san: Yasashii Teki no Shitome-kata,"Comedy, Parody, Sci-Fi",OVA,1,7.27,14622
2271,990,Kamisama Kazoku,"Comedy, Drama, Fantasy, Romance",TV,13,7.27,32828
2272,144,Kanon,"Drama, Romance, Slice of Life, Supernatural",TV,13,7.27,41960
2279,279,Kyougoku Natsuhiko: Kousetsu Hyaku Monogatari,"Fantasy, Historical, Horror, Mystery, Psychological, Supernatural",TV,13,7.27,20859
2280,5019,Lupin III: Sweet Lost Night - Mahou no Lamp wa Akumu no Yokan,"Adventure, Comedy, Shounen",Special,1,7.27,2338
2288,5702,Sora wo Miageru Shoujo no Hitomi ni Utsuru Sekai,"Action, Fantasy, Magic, Romance, Super Power",TV,9,7.27,24799
2293,16866,Tonari no Kaibutsu-kun: Tonari no Gokudou-kun,"Comedy, Historical, Romance, Shoujo",OVA,1,7.27,46837
2305,2659,Doraemon Movie 14: Nobita to Buriki no Labyrinth,Fantasy,Movie,1,7.26,1181
2308,13183,Fate/Zero Remix,"Action, Fantasy, Supernatural",Special,2,7.26,10824
2337,2664,Doraemon Movie 19: Nobita no Nankai Daibouken,"Adventure, Comedy, Fantasy, Kids, Sci-Fi, Shounen",Movie,1,7.25,1327
2343,2264,Jungle Taitei Movie (1997),"Adventure, Fantasy",Movie,1,7.25,1771
2350,30014,Momokuri,"Comedy, Romance, Slice of Life",ONA,26,7.25,26147
2356,1538,Pumpkin Scissors,"Action, Comedy, Drama, Military",TV,24,7.25,23931
2359,2109,Rockman.EXE Stream,"Action, Adventure, Game, Mecha, School, Sci-Fi, Shounen",TV,51,7.25,4161
2363,3221,Shakugan no Shana Movie Special,"Adventure, Comedy, Fantasy, Parody",Special,1,7.25,19488
2375,6151,Final Fantasy VII: On the Way to a Smile - Episode: Denzel,"Action, Fantasy, Super Power",OVA,1,7.24,18795
2376,1179,Gakuen Senki Muryou,"Adventure, Mecha, Sci-Fi, Shounen, Space, Supernatural",TV,26,7.24,3108
2378,6610,Ibara no Ou,"Action, Mystery, Sci-Fi, Thriller",Movie,1,7.24,38670
2379,3270,IGPX: Immortal Grand Prix (2005),"Drama, Mecha, Sci-Fi, Shounen, Sports",TV,13,7.24,11386
2380,3421,Kodomo no Omocha,"Comedy, Drama, School, Shoujo",OVA,1,7.24,3118
2384,1164,Mahou Senshi Louie,"Adventure, Comedy, Fantasy, Magic, Shounen",TV,24,7.24,12687
2390,3363,RD Sennou Chousashitsu,"Action, Sci-Fi",TV,26,7.24,16331
2395,13171,Wasurenagumo,"Comedy, Supernatural",Movie,1,7.24,18000
2400,32313,Concrete Revolutio: Choujin Gensou - The Last Song,"Action, Demons, Drama, Fantasy, Mystery, Sci-Fi, Super Power, Supernatural",TV,11,7.23,16116
2402,2962,Digimon Adventure 02 Movies,"Adventure, Fantasy, Kids, Sci-Fi",Movie,2,7.23,26543
2405,5670,GA: Geijutsuka Art Design Class,"Comedy, School, Seinen, Slice of Life",TV,12,7.23,12825
2406,18411,Gingitsune,"Seinen, Slice of Life, Supernatural",TV,12,7.23,33429
2423,3079,Aoki Ryuusei SPT Layzner,"Mecha, Military, Sci-Fi, Shounen, Space",TV,38,7.22,2378
2427,2937,Bishoujo Senshi Sailor Moon R: Make Up! Sailor Senshi,Shoujo,Special,1,7.22,10441
2431,21797,Chuunibyou demo Koi ga Shitai! Ren Lite,"Comedy, School",ONA,6,7.22,31544
2434,5983,Higepiyo,Comedy,TV,39,7.22,4427
2436,29927,Kaguya-hime,"Historical, Kids",Movie,1,7.22,470
2443,5691,Rekka no Honoo: Final Burning,"Action, Adventure, Magic, Martial Arts, School, Sci-Fi, Super Power",Special,1,7.22,4083
2446,566,Tetsuwan Birdy,"Action, Comedy, Sci-Fi, Shounen",OVA,4,7.22,13855
2448,1543,Yoake Mae yori Ruriiro na: Crescent Love,"Comedy, Romance, School, Sci-Fi",TV,12,7.22,22770
2453,1312,Chikyuu Bouei Kigyou Dai-Guard,"Adventure, Comedy, Mecha, Military, Sci-Fi",TV,26,7.21,4838
2457,4156,Ichigo Mashimaro Episode 0,Comedy,Special,1,7.21,9610
2458,432,Iria: Zeiram The Animation,"Action, Adventure, Sci-Fi, Space",OVA,6,7.21,10208
2470,12221,Precure All Stars Movie New Stage: Mirai no Tomodachi,"Fantasy, Magic, Shoujo",Movie,1,7.21,2530
2475,9733,The TV Show,Music,Music,1,7.21,2066
2476,1539,Touch: Cross Road - Kaze no Yukue,"Romance, Shounen, Sports",Special,1,7.21,1513
2495,4851,Lupin III: Seven Days Rhapsody,"Action, Adventure, Comedy, Shounen",Special,1,7.2,2482
2499,3752,Nagagutsu wo Haita Neko: 80 Nichikan Sekai Isshuu,"Adventure, Kids",Movie,1,7.2,925
2500,4662,Neo Angelique Abyss: Second Age,"Adventure, Fantasy, Harem, Shoujo",TV,13,7.2,12975
2501,2490,One Piece: Mezase! Kaizoku Yakyuu Ou,"Comedy, Fantasy, Shounen, Sports",Movie,1,7.2,20054
2506,20047,Sakura Trick,"Comedy, Romance, School, Seinen, Shoujo Ai, Slice of Life",TV,12,7.2,108011
2509,8986,Supernatural The Animation,"Action, Demons, Horror, Supernatural",OVA,22,7.2,18528
2513,2331,Uchuu Densetsu Ulysses 31,"Action, Adventure, Sci-Fi, Space",TV,26,7.2,2297
2521,28539,Garo Movie: Divine Flame,"Action, Demons, Fantasy, Magic, Supernatural",Movie,1,7.18,7179
2528,33299,Magic-Kyun! Renaissance,"Magic, Music, Romance, School",TV,13,7.19,12095
2529,2931,Mokke,"Mystery, Slice of Life, Supernatural",TV,24,7.19,8362
2530,30016,Nanbaka,"Action, Comedy, Drama",TV,13,7.19,57325
2535,3614,Yakushiji Ryouko no Kaiki Jikenbo,"Mystery, Police, Supernatural",TV,13,7.19,11002
2539,493,Armitage III: Poly-Matrix,"Action, Adventure, Mecha, Military, Police, Romance, Sci-Fi",Movie,1,7.18,9186
2543,2651,Doraemon: Doraemon Comes Back (Movie),"Comedy, Fantasy, Kids",Movie,1,7.18,672
2545,32801,Dungeon ni Deai wo Motomeru no wa Machigatteiru Darou ka OVA,"Action, Adventure, Comedy, Fantasy, Romance",OVA,1,7.18,23370
2549,247,Harukanaru Toki no Naka de: Hachiyou Shou,"Demons, Fantasy, Historical, Magic, Shoujo, Supernatural",TV,26,7.18,14550
2550,8206,Hime Chen! Otogi Chikku Idol Lilpri,"Magic, Shoujo",TV,51,7.18,6118
2551,3027,Hokuto no Ken: Yuria-den,"Action, Adventure, Drama, Martial Arts",OVA,1,7.18,3713
2560,3059,Ninja Senshi Tobikage,"Adventure, Mecha, Sci-Fi, Shounen, Space",TV,43,7.18,1941
2563,11009,Pokemon 3D Adventure 2: Pikachu no Kaitei Daibouken,"Adventure, Comedy, Fantasy, Kids",Movie,1,7.18,5158
2570,10351,Tenchi Muyou! Ryououki 2nd Season Picture Drama,"Comedy, Sci-Fi, Shounen, Space",Special,1,7.18,3626
2571,448,Tenjou Tenge: The Ultimate Fight,"Adventure, Drama, Martial Arts, Romance, Shounen, Supernatural",OVA,2,7.18,29039
2576,31080,Anne Happy♪,"Comedy, School, Slice of Life",TV,12,7.17,32040
2577,284,Area 88 (TV),"Action, Drama, Military, Romance, Shounen",TV,12,7.17,7563
